Name,onine_since,Image,categories,Category,Sub-category,Designer,Condition,Material,Color,Size,Location,Reference,Price,price_with_discount,Link
Monolith leather flats Prada Black size 38 EU in Leather - 42712885,2024-03-28,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-monolith-prada-flats-42712885-1_3.jpg",Women,Shoes,Flats,Prada,Monolith,Very good condition,Leather,Black,38 EU,"United States, from the seller olivia",$550,,https://www.vestiairecollective.com/women-shoes/flats/prada/black-leather-monolith-prada-flats-42712885.shtml
Yellow gold bracelet Tiffany & Co Gold in Yellow gold - 42802893,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/gold-yellow-gold-tiffany-co-bracelet-42802893-5_4.jpg",Women,Jewellery,Bracelets,Tiffany & Co,Very good condition,Yellow gold,Gold,"France, from the seller Xiaofang",42802893,,"$3,307.86",,https://www.vestiairecollective.com/women-jewellery/bracelets/tiffany-co/gold-yellow-gold-tiffany-co-bracelet-42802893.shtml
Mini bag Dior Beige in Cotton - 41743243,2024-02-26,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/beige-cotton-dior-handbag-41743243-1_2.jpg",Women,Bags,Handbags,Dior,Very good condition,Cotton,Beige,Vintage,"United States, from the seller leslie",41743243,$768.90,$548.90,https://www.vestiairecollective.com/women-bags/handbags/dior/beige-cotton-dior-handbag-41743243.shtml
Leather trainers JORDAN White size 11 US in Leather - 42343635,2024-03-18,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-leather-jordan-trainers-42343635-1_2.jpg",Kids,Shoes,Trainers,JORDAN,"Never worn, with tag",Leather,White,11 US,"United States, from the seller MARIA",42343635,$86.90,,https://www.vestiairecollective.com/kids-shoes/trainers/jordan/white-leather-jordan-trainers-42343635.shtml
Leather mini bag Louis Vuitton Brown in Leather - 42806260,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-louis-vuitton-handbag-42806260-1_2.jpg",Women,Bags,Handbags,Louis Vuitton,Very good condition,Leather,Brown,"United States, from the seller Jocelyn",42806260,,$330,,https://www.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-42806260.shtml
Diana bamboo leather handbag Gucci Black in Leather - 41261825,2024-02-22,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-diana-bamboo-gucci-handbag-41261825-1_1.jpg",Women,Bags,Handbags,Gucci,Diana Bamboo,"Never worn, with tag",Leather,Black,Vestiaire Collective United States,41261825,"$1,845","$1,661",https://www.vestiairecollective.com/women-bags/handbags/gucci/black-leather-diana-bamboo-gucci-handbag-41261825.shtml
Amberley leather handbag Mulberry Pink in Leather - 42730283,2024-03-28,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/pink-leather-amberley-mulberry-handbag-42730283-1_2.jpg",Women,Bags,Handbags,Mulberry,Amberley,Never worn,Leather,Pink,"United States, from the seller Atlanta",42730283,$605,,https://www.vestiairecollective.com/women-bags/handbags/mulberry/pink-leather-amberley-mulberry-handbag-42730283.shtml
Leather wallet Dior Grey in Leather - 42813432,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-leather-dior-wallet-42813432-1_2.jpg",Women,Accessories,Wallets,Dior,Very good condition,Leather,Grey,"France, from the seller ORMAIN",42813432,,$389.16,,https://www.vestiairecollective.com/women-accessories/wallet/dior/grey-leather-dior-wallet-42813432.shtml
Air jordan 4 leather low trainers JORDAN Multicolour size 8.5 US in Leather - 42195168,2024-03-12,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/multicolour-leather-air-jordan-4-jordan-trainers-42195168-1_3.jpg",Men,Shoes,Trainers,JORDAN,Air Jordan 4,Never worn,Leather,Multicolour,8.5 US,"United States, from the seller Ivett",$330,,https://www.vestiairecollective.com/men-shoes/trainers/jordan/multicolour-leather-air-jordan-4-jordan-trainers-42195168.shtml
Sandals Versace Black size 44 EU in Rubber - 42750461,2024-03-28,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-rubber-versace-sandals-42750461-2_4.jpg",Men,Shoes,Sandals,Versace,"Never worn, with tag",Rubber,Black,44 EU,"United States, from the seller Sam",42750461,$328.90,$165,https://www.vestiairecollective.com/men-shoes/sandals/versace/black-rubber-versace-sandals-42750461.shtml
Ophidia leather handbag Gucci Brown in Leather - 42510854,2024-03-21,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-ophidia-gucci-handbag-42510854-1_2.jpg",Women,Bags,Handbags,Gucci,Ophidia,Good condition,Leather,Brown,Vintage,"United States, from the seller jamie",$418,$357.50,https://www.vestiairecollective.com/women-bags/handbags/gucci/brown-leather-ophidia-gucci-handbag-42510854.shtml
Leather lace ups Prada Black size 8 UK in Leather - 42778139,2024-03-29,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-prada-lace-ups-42778139-1_2.jpg",Men,Shoes,Lace ups,Prada,Never worn,Leather,Black,8 UK,"United States, from the seller Jacquestine",42778139,$975,,https://www.vestiairecollective.com/men-shoes/lace-ups/prada/black-leather-prada-lace-ups-42778139.shtml
Musette tango leather crossbody bag Louis Vuitton Brown in Leather - 42783284,2024-03-30,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/brown-leather-musette-tango-louis-vuitton-handbag-42783284-1_2.jpg",Women,Bags,Handbags,Louis Vuitton,Musette Tango,Very good condition,Leather,Brown,"United States, from the seller Golden Bear Boutique",42783284,$550,,https://www.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-musette-tango-louis-vuitton-handbag-42783284.shtml
T-shirt Dolce & Gabbana Pink size 40 IT in Cotton - 42801615,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/pink-cotton-dolce-gabbana-top-42801615-1_3.jpg",Women,Clothing,Tops,Dolce & Gabbana,"Never worn, with tag",Cotton,Pink,40 IT,"Poland, from the seller Szymon",42801615,$116.75,,https://www.vestiairecollective.com/women-clothing/tops/dolce-gabbana/pink-cotton-dolce-gabbana-top-42801615.shtml
Discovery cloth bag Louis Vuitton Black in Cloth - 41680861,2024-02-24,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-cloth-discovery-louis-vuitton-bag-41680861-1_2.jpg",Men,Bags,Bags,Louis Vuitton,Discovery,Very good condition,Cloth,Black,"United States, from the seller Luxjour",41680861,$644,$612,https://www.vestiairecollective.com/men-bags/bags/louis-vuitton/black-cloth-discovery-louis-vuitton-bag-41680861.shtml
Shirt Dolce & Gabbana White size 3 years - until 39 inches UK in Cotton - 40952633,2024-02-01,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-cotton-dolce-gabbana-top-40952633-1_2.jpg",Kids,Boys,Tops,Dolce & Gabbana,Never worn,Cotton,White,3 years - until 39 inches UK,"United States, from the seller Anna",40952633,$198,,https://www.vestiairecollective.com/kids-boys/tops/dolce-gabbana/white-cotton-dolce-gabbana-top-40952633.shtml
Re-edition silk handbag Prada Blue in Silk - 41244077,2024-02-10,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/blue-silk-re-edition-prada-handbag-41244077-1_2.jpg",Women,Bags,Handbags,Prada,Re-edition,Very good condition,Silk,Blue,Vintage,"United States, from the seller Melanie",$548.90,$383.90,https://www.vestiairecollective.com/women-bags/handbags/prada/blue-silk-re-edition-prada-handbag-41244077.shtml
