Name,onine_since,Image,categories,Category,Sub-category,Designer,Condition,Material,Color,Size,Location,Reference,Price,price_with_discount,Link
Chanel 19 leather card wallet Chanel Black in Leather ,2024-01-23,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-leather-chanel-19-chanel-purse-40635909-1_3.jpg",Women,Accessories,"Purses, wallets & cases",Chanel,Chanel 19,"Never worn, with tag",Leather,Black,"United States, from the seller S",40635909,$770,$756.80,https://www.vestiairecollective.com/women-accessories/purses-wallets-cases/chanel/black-leather-chanel-19-chanel-purse-40635909.shtml
Cassette leather handbag Bottega Veneta Green in Leather ,2024-03-29,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-leather-cassette-bottega-veneta-handbag-42758009-1_2.jpg",Women,Bags,Handbags,Bottega Veneta,Cassette,Never worn,Leather,Green,"United States, from the seller Mideystyle",42758009,$748,,https://www.vestiairecollective.com/women-bags/handbags/bottega-veneta/green-leather-cassette-bottega-veneta-handbag-42758009.shtml
Low trainers Bottega Veneta Beige size 44 EU in Rubber ,2024-03-28,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/beige-rubber-bottega-veneta-trainers-42692201-1_2.jpg",Men,Shoes,Trainers,Bottega Veneta,Never worn,Rubber,Beige,44 EU,"United States, from the seller Mojisola",42692201,$275,,https://www.vestiairecollective.com/men-shoes/trainers/bottega-veneta/beige-rubber-bottega-veneta-trainers-42692201.shtml
Timeless/classique leather crossbody bag Chanel Gold in Leather ,2024-03-30,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/gold-leather-timeless-classique-chanel-handbag-42757723-1_2.jpg",Women,Bags,Handbags,Chanel,Timeless/Classique,Good condition,Leather,Gold,Vintage,"United States, from the seller emily","$3,294.50",,https://www.vestiairecollective.com/women-bags/handbags/chanel/gold-leather-timeless-classique-chanel-handbag-42757723.shtml
Cc earrings Chanel Gold in Gold plated ,2024-02-26,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/gold-gold-plated-cc-chanel-earrings-41709457-1_3.jpg",Women,Jewellery,Earrings,Chanel,CC,Very good condition,Gold plated,Gold,Vintage,"United States, from the seller Alisa",$467.50,$465.30,https://www.vestiairecollective.com/women-jewellery/earrings/chanel/gold-gold-plated-cc-chanel-earrings-41709457.shtml
Cloth biker boots Chanel Grey size 37 EU in Cloth ,2024-03-30,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-cloth-chanel-boots-42758285-1_2.jpg",Women,Shoes,Boots,Chanel,"Never worn, with tag",Cloth,Grey,37 EU,"United States, from the seller olga",42758285,$715,,https://www.vestiairecollective.com/women-shoes/boots/chanel/grey-cloth-chanel-boots-42758285.shtml
Mid,2024-03-28,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/multicolour-polyester-la-double-j-dress-42495843-1_1.jpg",Women,Clothing,Dresses,La Double J,Very good condition,Polyester,Multicolour,M International,Vestiaire Collective United States,42495843,$330,,https://www.vestiairecollective.com/women-clothing/dresses/la-double-j/multicolour-polyester-la-double-j-dress-42495843.shtml
Skirt Burberry Black size 8 years ,2024-02-15,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-cotton-burberry-skirt-41417042-1_2.jpg",Kids,Girls,Skirts,Burberry,Never worn,Cotton,Black,8 years - until 50 inches UK,Vintage,"United States, from the seller David",$163.90,,https://www.vestiairecollective.com/kids-girls/skirts/burberry/black-cotton-burberry-skirt-41417042.shtml
Air force 1 leather trainers Nike White size 6.5 US in Leather ,2023-11-13,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-leather-air-force-1-nike-trainers-38579184-1_2.jpg",Kids,Shoes,Trainers,Nike,Air Force 1,Never worn,Leather,White,6.5 US,"United States, from the seller melmel",$132,$95.70,https://www.vestiairecollective.com/kids-shoes/trainers/nike/white-leather-air-force-1-nike-trainers-38579184.shtml
Sunglasses Prada Black in Plastic ,2024-02-02,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/black-plastic-prada-sunglasses-41004903-1_4.jpg",Men,Accessories,Sunglasses,Prada,"Never worn, with tag",Plastic,Black,"United States, from the seller Elins",41004903,,$264,,https://www.vestiairecollective.com/men-accessories/sunglasses/prada/black-plastic-prada-sunglasses-41004903.shtml
